Plot_Code,Stem_number,Species,DBH_cm,Condition,Biomass,,
SG01,1,A,65.73,A,4811.68,,
SG01,2,B,19.26,Dead,235.05,,
SG01,3,C,12.1,A,73.19,,
SG01,4,D,15.63,A,139.38,,
SG01,5,B,10.74,A,54.15,,
SG01,6,D,16.68,A,164.06,,
SG01,7,A,58.25,A,3589.17,,
SG01,8,C,32.85,A,883.61,,
SG01,9,S,13.05,A,88.56,,
SG01,10,D,10.19,A,47.4,,
SG01,11,A,58.25,A,3589.17,,
SG01,12,A,52.2,A,2748.6,,
SG01,13,A,52.84,A,2831.42,,
SG01,14,F,33.17,A,904.97,,
SG01,15,C,10.06,A,45.88,,
SG01,16,C,14.96,A,124.87,,
SG01,17,C,10.79,A,54.79,,
SG01,18,D,10.5,A,51.14,,
SG01,19,G,23.4,A,381.72,,
SG01,20,G,16.23,A,153.19,,
SG01,21,H,24.7,A,436.56,,
SG01,22,H,16.71,A,164.8,,
SG01,23,B,11.14,A,59.4,,
SG01,24,G,63.98,A,4507.07,,
SG01,25,I,20.85,A,286.47,,
SG01,26,G,55.32,A,3165.88,,
SG01,27,K,40.74,A,1499.78,,
SG01,28,J,32.79,A,879.64,,
SG01,29,K,29.7,A,689.05,,
SG01,30,K,43.29,A,1740.25,,
SG01,31,K,102.4,A,14002.42,,
SG01,32,T,15.6,A,138.71,,
SG01,33,L,11.65,Dead,66.51,,
SG01,34,L,13.62,A,98.63,,
SG01,35,L,12.48,A,79.13,,
SG01,36,I,43.93,A,1803.89,,
SG01,37,L,46.95,A,2122.28,,
SG01,38,H,13.69,A,99.91,,
SG01,39,-,10.92,Dead,56.48,,
SG01,40,B,28.97,A,647.96,,
SG01,41,L,12.89,A,85.85,,
SG01,42,M,37.31,A,1208.64,,
SG01,43,I,10.92,A,56.48,,
SG01,44,L,14.01,A,105.89,,
SG01,45,L,12.67,A,82.21,,
SG01,46,L,11.62,A,66.08,,
SG01,47,F,34.79,A,1017.71,,
SG01,48,H,17.03,A,172.81,,
SG01,49,U,11.78,A,68.4,,
SG01,50,F,30.4,A,729.85,,
SG01,51,F,33.1,A,900.28,,
SG01,52,-,17.51,Dead,185.26,,
SG01,53,H,11.05,A,58.19,,
SG01,54,H,16.71,A,164.8,,
SG01,55,N,47.43,A,2175.66,,
SG01,56,O,29.44,A,674.25,,
SG01,57,P,24.83,A,442.29,,
SG01,58,J,33.42,A,921.87,,
SG01,59,J,31.83,A,817.51,,
SG01,60,J,32.79,A,879.64,,
SG01,61,Q,22.92,A,362.56,,
SG01,62,Q,10.5,A,51.14,,
SG01,63,-,27.06,Dead,547.36,,
SG01,64,K,71.3,A,5858.62,,
SG01,65,-,10.98,Dead,57.26,,
SG01,66,R,15.69,A,140.73,,
SG01,67,Q,30.88,A,758.63,,
SG01,68,D,14.01,A,105.89,,
SG01,69,F,15.28,A,131.68,,
SG02,1,V,27.88,A,589.33,,
SG02,2,-,23.4,Dead,381.72,,
SG02,3,C,16.55,A,160.87,,
SG02,4,C,18.14,A,202.38,,
SG02,5,-,20.66,Dead,280.01,,
SG02,6,H,14.32,A,111.88,,
SG02,7,W,37.82,A,1249.62,,
SG02,8,-,23.24,Dead,375.27,,
SG02,9,C,21.8,A,320.08,,
SG02,10,-,16.17,Dead,151.78,,
SG02,11,L,10.12,A,46.58,,
SG02,12,H,12.29,A,76.13,,
SG02,13,B,15.25,A,131.04,,
SG02,14,C2,13.75,A,101.01,,
SG02,15,M,18.62,A,216.03,,
SG02,16,X,16.65,A,163.32,,
SG02,17,H,11.55,A,65.08,,
SG02,18,H,13.62,A,98.63,,
SG02,19,H,23.97,A,405.24,,
SG02,20,L,11.62,A,66.08,,
SG02,21,L,14.2,A,109.54,,
SG02,22,L,11.43,A,63.39,,
SG02,23,-,19.32,Dead,236.89,,
SG02,24,L,15.41,A,134.51,,
SG02,25,H,12.61,A,81.23,,
SG02,26,K,17.79,A,192.76,,
SG02,27,H,10.19,A,47.4,,
SG02,28,B,64.14,A,4534.45,,
SG02,29,J,15.76,A,142.31,,
SG02,30,C,21.71,A,316.8,,
SG02,31,F,33.9,A,954.82,,
SG02,32,I,11.4,A,62.97,,
SG02,33,Y,54.69,A,3078.87,,
SG02,34,Y,34,A,961.77,,
SG02,35,-,11.87,Dead,69.73,,
SG02,36,C,10.57,A,52.01,,
SG02,37,Z,35.91,A,1100.21,,
SG02,38,L,23.46,A,384.16,,
SG02,39,C,21.29,A,301.76,,
SG02,40,A2,66.37,A,4925.96,,
SG02,41,H,32.47,A,858.64,,
SG02,42,E,10.92,A,56.48,,
SG02,43,L,16.01,A,148.04,,
SG02,44,Q,21.9,A,323.75,,
SG02,45,H,23.94,A,403.98,,
SG02,46,H,19.58,A,244.92,,
SG02,47,H,12.89,A,85.85,,
SG02,48,L,11.17,A,59.8,,
SG02,49,E,11.62,A,66.08,,
SG02,50,E,14.48,A,115.05,,
SG02,51,E,12.57,A,80.58,,
SG02,52,L,11.01,A,57.66,,
SG02,53,M,28.49,A,621.74,,
SG02,54,E,12.1,A,73.19,,
SG02,55,C,25.27,A,461.98,,
SG02,56,H,36.13,A,1116.85,,
SG02,57,H,17.28,A,179.23,,
SG02,58,L,15.5,A,136.49,,
